{' No': -0.0043764706, '\n': -13.538564, ' ': -10.545758, ' Generally': -13.064964, 'No': -5.4410486}
{' No': -0.0031347724, 'No': -5.780947, ' ': -10.100278, ' no': -13.853953, '\n': -14.074522}
{' No': -0.0026929446, '\n': -14.101505, ' ': -10.027236, 'No': -5.9360876, ' no': -13.802648}
{' No': -0.0027478724, ' ': -10.128322, 'No': -5.9140067, ' no': -13.8209505, ' NO': -14.062025}
{' No': -0.0077655446, ' ': -10.061773, ' Generally': -9.36728, ' Typically': -12.616247, 'No': -4.880339}
{' No': -0.005226757, 'No': -5.2657514, ' ': -10.047951, ' Generally': -13.753255, ' no': -13.935916}
{' No': -0.004219095, ' ': -10.164696, ' Generally': -14.065754, 'No': -5.480444, ' no': -13.856075}
{' No': -7.5783625, ' ': -10.07162, ' Yes': -0.0024386165, ' yes': -9.963979, 'Yes': -6.3149066}
{' No': -0.0052120765, ' ': -10.237971, 'No': -5.266986, ' A': -14.141244, ' no': -13.738613}
{' No': -0.009310921, ' ': -9.790341, ' Generally': -11.341048, 'No': -4.6990347, ' Yes': -9.425765}
{' No': -0.00590723, 'No': -5.139576, ' ': -10.802025, ' Generally': -12.039875, ' no': -14.090992}
{' No': -0.0036131043, ' ': -10.1528225, 'No': -5.6366806, ' no': -13.58514, ' NO': -14.21491}
{' No': -0.003228172, 'No': -5.749104, ' ': -10.270196, ' no': -13.628662, ' NO': -14.368036}
{' No': -0.003479115, ' ': -10.29451, 'No': -5.6733665, ' no': -13.550539, ' NO': -14.133597}
{' No': -0.008566932, ' ': -10.173748, ' Generally': -8.650622, ' Typically': -11.918589, 'No': -4.7919626}
{' No': -0.005678935, ' ': -10.169568, ' Generally': -13.329551, 'No': -5.181536, ' no': -13.687495}
{' No': -0.0053297, ' ': -10.108702, ' Generally': -13.733423, 'No': -5.2457643, ' no': -13.560277}
{' No': -8.428212, ' Generally': -9.959722, ' Yes': -0.0021243752, ' yes': -9.752612, 'Yes': -6.345363}
{' No': -0.006017796, 'No': -5.1236916, ' ': -10.088394, ' no': -13.499078, ' A': -13.845358}
{' No': -0.009991826, 'No': -4.6254373, ' ': -9.82647, ' Yes': -9.989911, ' Generally': -10.689322}
{' No': -0.005531602, 'No': -5.2054543, ' ': -10.898727, ' Generally': -11.713552, ' Not': -14.053596}
{' No': -0.0039487546, ' ': -10.473606, 'No': -5.5440297, ' no': -14.059071, ' NO': -14.664865}
{' No': -0.0033222986, ' ': -10.561967, 'No': -5.7171164, ' no': -14.12664, ' NO': -14.748978}
{' No': -0.0037096613, ' ': -10.495019, 'No': -5.6066637, ' no': -14.108762, ' NO': -14.658944}
{' No': -0.008874778, 'No': -4.759428, ' Generally': -8.479438, ' ': -10.245753, ' Typically': -11.878987}
{' No': -0.0052874554, ' ': -10.311755, ' Generally': -13.081236, 'No': -5.2523365, ' no': -13.995978}
{' No': -0.0053859074, ' ': -10.194055, ' Generally': -13.3631315, 'No': -5.2345614, ' no': -13.832312}
{' Yes': -0.0022304035, 'Yes': -6.330891, ' No': -8.12689, ' yes': -9.745122, ' Generally': -9.9907675}
{' No': -0.0060474193, ' ': -10.166541, 'No': -5.118159, ' A': -13.777797, ' no': -13.78981}
{' No': -0.009261466, 'No': -4.7037573, ' Yes': -9.738763, ' ': -9.753259, ' Generally': -10.732247}
{' No': -0.0065121464, 'No': -5.042446, ' ': -10.846365, ' Generally': -11.636735, ' Not': -13.944483}
{' No': -0.0042069415, ' ': -10.43695, 'No': -5.4809546, ' no': -13.535685, ' NO': -14.088969}
{' No': -0.0033359935, ' ': -10.501167, 'No': -5.713796, ' no': -13.700045, ' NO': -14.390498}
{' No': -0.0034855136, ' ': -10.64559, 'No': -5.6685925, ' no': -13.682729, ' NO': -14.307674}
{' No': -0.008631379, ' ': -10.0629635, ' Generally': -8.328739, ' Typically': -11.515522, 'No': -4.7940006}
{' No': -0.005395018, ' ': -10.414694, ' Generally': -12.275484, 'No': -5.232278, ' no': -13.824582}
{' No': -0.0051637846, ' ': -10.583069, ' Generally': -12.413701, 'No': -5.2753415, ' no': -13.58705}
{' No': -8.331158, ' Generally': -9.256958, ' Yes': -0.002065722, ' yes': -9.715143, 'Yes': -6.4255733}
{' No': -0.006065409, ' ': -10.433533, ' Generally': -13.324665, 'No': -5.114189, ' A': -13.359465}
{' No': -0.010197742, ' ': -9.78884, ' Generally': -9.329866, 'No': -4.651299, ' Yes': -7.860327}
{' No': -0.008615086, 'No': -4.7695727, ' Generally': -9.891717, ' ': -10.398795, ' Typically': -12.71687}
{' No': -0.0065745427, '\n': -13.894588, ' ': -9.876876, 'No': -5.0366154, ' no': -12.881629}
{' No': -0.007042455, 'No': -4.9675355, ' ': -9.871794, ' no': -12.93321, '\n': -13.53325}
{' No': -0.007249684, '\n': -13.130035, ' ': -9.58884, 'No': -4.941303, ' no': -12.565408}
{' No': -0.011777731, ' Generally': -6.4039664, ' Typically': -9.865731, 'No': -4.6387787, ' A': -8.643213}
{' No': -0.0085422825, ' ': -9.903256, ' Generally': -10.534465, 'No': -4.7779593, ' A': -11.761105}
{' No': -0.009608766, ' ': -9.662202, ' Generally': -10.692355, 'No': -4.6614866, ' A': -11.1807}
{' Yes': -0.0025511323, 'Yes': -6.1019278, ' Generally': -9.0673895, ' yes': -9.203104, ' No': -10.401698}
{' No': -0.010468749, ' ': -9.508996, ' Generally': -12.405456, 'No': -4.574544, ' A': -11.041875}
{' An': -6.8274813, ' No': -0.021642655, ' Generally': -7.8505607, 'No': -4.2656803, ' Yes': -5.2182217}
{' No': -0.0066563836, ' Not': -13.914684, ' ': -10.594148, ' Generally': -11.379372, 'No': -5.0217566}
{' No': -0.004456576, ' ': -10.24544, 'No': -5.424414, ' no': -13.5777, ' NO': -14.421802}
{' No': -0.003593664, ' ': -10.336578, 'No': -5.6402225, ' no': -13.749065, ' NO': -14.483618}
{' No': -0.0039378046, ' ': -10.344168, 'No': -5.548196, ' no': -13.614278, ' NO': -14.302212}
{' No': -0.00953186, 'No': -4.7221537, ' Generally': -7.646162, ' ': -9.849749, ' A': -10.597235}
{' No': -0.0064216214, 'No': -5.0602965, ' ': -10.286979, ' Generally': -11.1862, ' A': -12.358657}
{' No': -0.006498288, ' ': -10.346779, ' Generally': -11.919784, 'No': -5.046604, ' A': -12.657871}
{' No': -8.920618, ' Generally': -10.162018, ' Yes': -0.0021171486, ' yes': -9.917354, 'Yes': -6.2921824}
{' No': -0.0064297165, ' ': -10.026521, ' Generally': -12.989976, 'No': -5.058775, ' A': -12.124961}
{' An': -8.271978, ' No': -0.019310078, ' ': -8.897311, 'No': -4.5790195, ' Yes': -4.799095}
{' No': -0.006137194, ' ': -10.378329, ' Generally': -12.041087, 'No': -5.1031065, ' no': -13.848119}
{' No': -0.0040376815, '\n': -14.490906, ' ': -9.958993, 'No': -5.5266185, ' no': -13.48872}
{' No': -0.0035437155, 'No': -5.658532, ' ': -9.964993, ' no': -13.469255, '\n': -14.599505}
{' No': -0.0033950233, ' ': -9.94214, 'No': -5.7022624, ' no': -13.506413, ' NO': -14.486158}
{' No': -0.008337188, 'No': -4.8615456, ' Generally': -7.7471237, ' ': -9.473732, ' A': -10.817068}
{' No': -0.0055916007, ' ': -9.744051, ' Generally': -13.181534, 'No': -5.2009387, ' no': -13.467674}
{' No': -0.005121188, ' ': -9.734361, ' Generally': -13.67945, 'No': -5.289709, ' no': -13.322978}
{' ': -10.171489, ' Generally': -11.004252, ' Yes': -0.001861114, ' yes': -9.482272, 'Yes': -6.37141}
