(20, 'elephant', 'camel')
(20, 'elephant', 'donkey')
(20, 'elephant', 'goat')
(20, 'elephant', 'goose')
(20, 'elephant', 'rat')
(20, 'elephant', 'butterfly')
(20, 'camel', 'donkey')
(20, 'camel', 'goat')
(20, 'camel', 'goose')
(20, 'camel', 'rat')
(20, 'camel', 'butterfly')
(20, 'donkey', 'goat')
(20, 'donkey', 'goose')
(20, 'donkey', 'rat')
(20, 'donkey', 'butterfly')
(20, 'goat', 'goose')
(20, 'goat', 'rat')
(20, 'goat', 'butterfly')
(20, 'goose', 'rat')
(20, 'goose', 'butterfly')
(20, 'rat', 'butterfly')
(21, 'elephant', 'camel')
(21, 'elephant', 'donkey')
(21, 'elephant', 'goat')
(21, 'elephant', 'goose')
(21, 'elephant', 'rat')
(21, 'elephant', 'butterfly')
(21, 'camel', 'donkey')
(21, 'camel', 'goat')
(21, 'camel', 'goose')
(21, 'camel', 'rat')
(21, 'camel', 'butterfly')
(21, 'donkey', 'goat')
(21, 'donkey', 'goose')
(21, 'donkey', 'rat')
(21, 'donkey', 'butterfly')
(21, 'goat', 'goose')
(21, 'goat', 'rat')
(21, 'goat', 'butterfly')
(21, 'goose', 'rat')
(21, 'goose', 'butterfly')
(21, 'rat', 'butterfly')
(22, 'elephant', 'camel')
(22, 'elephant', 'donkey')
(22, 'elephant', 'goat')
(22, 'elephant', 'goose')
(22, 'elephant', 'rat')
(22, 'elephant', 'butterfly')
(22, 'camel', 'donkey')
(22, 'camel', 'goat')
(22, 'camel', 'goose')
(22, 'camel', 'rat')
(22, 'camel', 'butterfly')
(22, 'donkey', 'goat')
(22, 'donkey', 'goose')
(22, 'donkey', 'rat')
(22, 'donkey', 'butterfly')
(22, 'goat', 'goose')
(22, 'goat', 'rat')
(22, 'goat', 'butterfly')
(22, 'goose', 'rat')
(22, 'goose', 'butterfly')
(22, 'rat', 'butterfly')
(23, 'elephant', 'camel')
(23, 'elephant', 'donkey')
(23, 'elephant', 'goat')
(23, 'elephant', 'goose')
(23, 'elephant', 'rat')
(23, 'elephant', 'butterfly')
(23, 'camel', 'donkey')
(23, 'camel', 'goat')
(23, 'camel', 'goose')
(23, 'camel', 'rat')
(23, 'camel', 'butterfly')
(23, 'donkey', 'goat')
(23, 'donkey', 'goose')
(23, 'donkey', 'rat')
(23, 'donkey', 'butterfly')
(23, 'goat', 'goose')
(23, 'goat', 'rat')
(23, 'goat', 'butterfly')
(23, 'goose', 'rat')
(23, 'goose', 'butterfly')
(23, 'rat', 'butterfly')
(24, 'elephant', 'camel')
(24, 'elephant', 'donkey')
(24, 'elephant', 'goat')
(24, 'elephant', 'goose')
(24, 'elephant', 'rat')
(24, 'elephant', 'butterfly')
(24, 'camel', 'donkey')
(24, 'camel', 'goat')
(24, 'camel', 'goose')
(24, 'camel', 'rat')
(24, 'camel', 'butterfly')
(24, 'donkey', 'goat')
(24, 'donkey', 'goose')
(24, 'donkey', 'rat')
(24, 'donkey', 'butterfly')
(24, 'goat', 'goose')
(24, 'goat', 'rat')
(24, 'goat', 'butterfly')
(24, 'goose', 'rat')
(24, 'goose', 'butterfly')
(24, 'rat', 'butterfly')
(25, 'elephant', 'camel')
(25, 'elephant', 'donkey')
(25, 'elephant', 'goat')
(25, 'elephant', 'goose')
(25, 'elephant', 'rat')
(25, 'elephant', 'butterfly')
(25, 'camel', 'donkey')
(25, 'camel', 'goat')
(25, 'camel', 'goose')
(25, 'camel', 'rat')
(25, 'camel', 'butterfly')
(25, 'donkey', 'goat')
(25, 'donkey', 'goose')
(25, 'donkey', 'rat')
(25, 'donkey', 'butterfly')
(25, 'goat', 'goose')
(25, 'goat', 'rat')
(25, 'goat', 'butterfly')
(25, 'goose', 'rat')
(25, 'goose', 'butterfly')
(25, 'rat', 'butterfly')
(26, 'elephant', 'camel')
(26, 'elephant', 'donkey')
(26, 'elephant', 'goat')
(26, 'elephant', 'goose')
(26, 'elephant', 'rat')
(26, 'elephant', 'butterfly')
(26, 'camel', 'donkey')
(26, 'camel', 'goat')
(26, 'camel', 'goose')
(26, 'camel', 'rat')
(26, 'camel', 'butterfly')
(26, 'donkey', 'goat')
(26, 'donkey', 'goose')
(26, 'donkey', 'rat')
(26, 'donkey', 'butterfly')
(26, 'goat', 'goose')
(26, 'goat', 'rat')
(26, 'goat', 'butterfly')
(26, 'goose', 'rat')
(26, 'goose', 'butterfly')
(26, 'rat', 'butterfly')
(27, 'elephant', 'camel')
(27, 'elephant', 'donkey')
(27, 'elephant', 'goat')
(27, 'elephant', 'goose')
(27, 'elephant', 'rat')
(27, 'elephant', 'butterfly')
(27, 'camel', 'donkey')
(27, 'camel', 'goat')
(27, 'camel', 'goose')
(27, 'camel', 'rat')
(27, 'camel', 'butterfly')
(27, 'donkey', 'goat')
(27, 'donkey', 'goose')
(27, 'donkey', 'rat')
(27, 'donkey', 'butterfly')
(27, 'goat', 'goose')
(27, 'goat', 'rat')
(27, 'goat', 'butterfly')
(27, 'goose', 'rat')
(27, 'goose', 'butterfly')
(27, 'rat', 'butterfly')
(28, 'elephant', 'camel')
(28, 'elephant', 'donkey')
(28, 'elephant', 'goat')
(28, 'elephant', 'goose')
(28, 'elephant', 'rat')
(28, 'elephant', 'butterfly')
(28, 'camel', 'donkey')
(28, 'camel', 'goat')
(28, 'camel', 'goose')
(28, 'camel', 'rat')
(28, 'camel', 'butterfly')
(28, 'donkey', 'goat')
(28, 'donkey', 'goose')
(28, 'donkey', 'rat')
(28, 'donkey', 'butterfly')
(28, 'goat', 'goose')
(28, 'goat', 'rat')
(28, 'goat', 'butterfly')
(28, 'goose', 'rat')
(28, 'goose', 'butterfly')
(28, 'rat', 'butterfly')
(29, 'elephant', 'camel')
(29, 'elephant', 'donkey')
(29, 'elephant', 'goat')
(29, 'elephant', 'goose')
(29, 'elephant', 'rat')
(29, 'elephant', 'butterfly')
(29, 'camel', 'donkey')
(29, 'camel', 'goat')
(29, 'camel', 'goose')
(29, 'camel', 'rat')
(29, 'camel', 'butterfly')
(29, 'donkey', 'goat')
(29, 'donkey', 'goose')
(29, 'donkey', 'rat')
(29, 'donkey', 'butterfly')
(29, 'goat', 'goose')
(29, 'goat', 'rat')
(29, 'goat', 'butterfly')
(29, 'goose', 'rat')
(29, 'goose', 'butterfly')
(29, 'rat', 'butterfly')
(30, 'elephant', 'camel')
(30, 'elephant', 'donkey')
(30, 'elephant', 'goat')
(30, 'elephant', 'goose')
(30, 'elephant', 'rat')
(30, 'elephant', 'butterfly')
(30, 'camel', 'donkey')
(30, 'camel', 'goat')
(30, 'camel', 'goose')
(30, 'camel', 'rat')
(30, 'camel', 'butterfly')
(30, 'donkey', 'goat')
(30, 'donkey', 'goose')
(30, 'donkey', 'rat')
(30, 'donkey', 'butterfly')
(30, 'goat', 'goose')
(30, 'goat', 'rat')
(30, 'goat', 'butterfly')
(30, 'goose', 'rat')
(30, 'goose', 'butterfly')
(30, 'rat', 'butterfly')
(31, 'elephant', 'camel')
(31, 'elephant', 'donkey')
(31, 'elephant', 'goat')
(31, 'elephant', 'goose')
(31, 'elephant', 'rat')
(31, 'elephant', 'butterfly')
(31, 'camel', 'donkey')
(31, 'camel', 'goat')
(31, 'camel', 'goose')
(31, 'camel', 'rat')
(31, 'camel', 'butterfly')
(31, 'donkey', 'goat')
(31, 'donkey', 'goose')
(31, 'donkey', 'rat')
(31, 'donkey', 'butterfly')
(31, 'goat', 'goose')
(31, 'goat', 'rat')
(31, 'goat', 'butterfly')
(31, 'goose', 'rat')
(31, 'goose', 'butterfly')
(31, 'rat', 'butterfly')
(32, 'elephant', 'camel')
(32, 'elephant', 'donkey')
(32, 'elephant', 'goat')
(32, 'elephant', 'goose')
(32, 'elephant', 'rat')
(32, 'elephant', 'butterfly')
(32, 'camel', 'donkey')
(32, 'camel', 'goat')
(32, 'camel', 'goose')
(32, 'camel', 'rat')
(32, 'camel', 'butterfly')
(32, 'donkey', 'goat')
(32, 'donkey', 'goose')
(32, 'donkey', 'rat')
(32, 'donkey', 'butterfly')
(32, 'goat', 'goose')
(32, 'goat', 'rat')
(32, 'goat', 'butterfly')
(32, 'goose', 'rat')
(32, 'goose', 'butterfly')
(32, 'rat', 'butterfly')
(33, 'elephant', 'camel')
(33, 'elephant', 'donkey')
(33, 'elephant', 'goat')
(33, 'elephant', 'goose')
(33, 'elephant', 'rat')
(33, 'elephant', 'butterfly')
(33, 'camel', 'donkey')
(33, 'camel', 'goat')
(33, 'camel', 'goose')
(33, 'camel', 'rat')
(33, 'camel', 'butterfly')
(33, 'donkey', 'goat')
(33, 'donkey', 'goose')
(33, 'donkey', 'rat')
(33, 'donkey', 'butterfly')
(33, 'goat', 'goose')
(33, 'goat', 'rat')
(33, 'goat', 'butterfly')
(33, 'goose', 'rat')
(33, 'goose', 'butterfly')
(33, 'rat', 'butterfly')
(34, 'elephant', 'camel')
(34, 'elephant', 'donkey')
(34, 'elephant', 'goat')
(34, 'elephant', 'goose')
(34, 'elephant', 'rat')
(34, 'elephant', 'butterfly')
(34, 'camel', 'donkey')
(34, 'camel', 'goat')
(34, 'camel', 'goose')
(34, 'camel', 'rat')
(34, 'camel', 'butterfly')
(34, 'donkey', 'goat')
(34, 'donkey', 'goose')
(34, 'donkey', 'rat')
(34, 'donkey', 'butterfly')
(34, 'goat', 'goose')
(34, 'goat', 'rat')
(34, 'goat', 'butterfly')
(34, 'goose', 'rat')
(34, 'goose', 'butterfly')
(34, 'rat', 'butterfly')
(35, 'elephant', 'camel')
(35, 'elephant', 'donkey')
(35, 'elephant', 'goat')
(35, 'elephant', 'goose')
(35, 'elephant', 'rat')
(35, 'elephant', 'butterfly')
(35, 'camel', 'donkey')
(35, 'camel', 'goat')
(35, 'camel', 'goose')
(35, 'camel', 'rat')
(35, 'camel', 'butterfly')
(35, 'donkey', 'goat')
(35, 'donkey', 'goose')
(35, 'donkey', 'rat')
(35, 'donkey', 'butterfly')
(35, 'goat', 'goose')
(35, 'goat', 'rat')
(35, 'goat', 'butterfly')
(35, 'goose', 'rat')
(35, 'goose', 'butterfly')
(35, 'rat', 'butterfly')
(36, 'elephant', 'camel')
(36, 'elephant', 'donkey')
(36, 'elephant', 'goat')
(36, 'elephant', 'goose')
(36, 'elephant', 'rat')
(36, 'elephant', 'butterfly')
(36, 'camel', 'donkey')
(36, 'camel', 'goat')
(36, 'camel', 'goose')
(36, 'camel', 'rat')
(36, 'camel', 'butterfly')
(36, 'donkey', 'goat')
(36, 'donkey', 'goose')
(36, 'donkey', 'rat')
(36, 'donkey', 'butterfly')
(36, 'goat', 'goose')
(36, 'goat', 'rat')
(36, 'goat', 'butterfly')
(36, 'goose', 'rat')
(36, 'goose', 'butterfly')
(36, 'rat', 'butterfly')
(37, 'elephant', 'camel')
(37, 'elephant', 'donkey')
