{' Odd': -5.8681273, ' 1': -4.142514, ' odd': -0.10561937, ' 0': -6.320852, ' even': -2.6149137}
{':': -5.0455327, ' an': -4.33767, ' Even': -6.0252414, ' "': -5.120906, ' even': -0.042751808}
{' odd': -0.1325484, ' 1': -2.1649315, ' Odd': -5.7122355, ' even': -6.1484766, ' an': -7.124221}
{' ': -6.3611546, ':': -6.278364, ' an': -5.894338, ' Even': -6.359662, ' even': -0.0152742}
{' Odd': -4.828364, ' 1': -3.356647, ' "': -5.630939, ' odd': -0.10292015, ' even': -3.1740544}
{' ': -6.388811, ' an': -4.775036, ' Even': -5.81051, ' "': -6.157062, ' even': -0.020450654}
{' Odd': -5.109233, ' an': -6.082894, ' 1': -6.6613326, ' odd': -0.03468405, ' even': -3.8654106}
{' even': -0.0030788083, ' an': -6.4150195, ' 0': -7.75394, ' Even': -8.43219, ':': -8.559903}
{' Odd': -4.7805657, ' an': -5.612274, ' 1': -4.239584, ' odd': -0.04941089, ' even': -3.948156}
{' Odd': -5.4292407, ':': -4.807759, ' 1': -3.4353092, ' odd': -0.15830128, ' even': -2.4681633}
{' even': -0.0103850905, ' an': -6.0100574, ' "': -6.093392, ' odd': -6.784349, ' Even': -7.1570663}
{'\n': -6.838679, ' Odd': -6.689323, ' 1': -3.8693318, ' odd': -0.038502518, ' even': -4.4352026}
{' ': -7.2851458, ':': -6.673963, ' an': -6.976222, ' Even': -6.4209604, ' even': -0.0065876828}
{' Odd': -4.916355, ':': -5.3558025, ' 1': -4.9803777, ' odd': -0.0562439, ' even': -3.5186849}
{' ': -6.4959636, ':': -6.0436482, ' an': -5.38934, ' Even': -6.190947, ' even': -0.015808947}
{' Odd': -5.035008, ' an': -5.324698, ' 1': -4.952605, ' odd': -0.051045917, ' even': -3.6596448}
{':': -7.099634, ' an': -5.019633, ' Even': -6.4582753, ' "': -5.9303937, ' even': -0.01492372}
{' Odd': -4.86519, ' an': -6.3016524, ' 1': -3.4894493, ' odd': -0.054575, ' even': -4.774518}
{' even': -0.6473068, ' odd': -0.91395986, ' an': -3.6059668, ' "': -4.806434, ':': -4.8647723}
{' ': -6.0366654, ':': -5.212401, ' an': -5.858994, ' Even': -6.0771875, ' even': -0.02171581}
{' odd': -0.119948484, ' Odd': -2.6158943, ':': -4.3103285, ' 1': -4.72433, ' even': -5.146302}
{' ': -8.387729, ' an': -7.591627, ' Even': -7.5181723, ' "': -7.8805203, ' even': -0.002414237}
{' Odd': -5.758347, ' an': -6.3181477, ' 1': -2.0227814, ' odd': -0.18685552, ' even': -3.5784664}
{' ': -8.025483, ':': -8.233652, ' an': -7.124366, ' Even': -7.438145, ' even': -0.002870587}
{' Odd': -4.94561, ' an': -5.3640313, ' 1': -3.230612, ' odd': -0.08164649, ' even': -3.905022}
{' ': -7.7252855, ' an': -6.4764967, ' Even': -7.710307, ' 0': -8.259941, ' even': -0.0034877872}
{' Odd': -4.5622277, ' an': -6.0936546, ' 1': -3.669557, ' odd': -0.04904409, ' even': -5.1776366}
{':': -4.9250126, ' an': -4.627478, ' "': -4.327186, ' odd': -2.6913383, ' even': -0.12197852}
{' ': -6.5973196, ' an': -5.6863165, ' Even': -6.5394335, ' "': -6.088301, ' even': -0.0128932595}
