(20, 'butterfly', 'rat')
(20, 'butterfly', 'goose')
(20, 'butterfly', 'goat')
(20, 'butterfly', 'donkey')
(20, 'butterfly', 'camel')
(20, 'butterfly', 'elephant')
(20, 'rat', 'goose')
(20, 'rat', 'goat')
(20, 'rat', 'donkey')
(20, 'rat', 'camel')
(20, 'rat', 'elephant')
(20, 'goose', 'goat')
(20, 'goose', 'donkey')
(20, 'goose', 'camel')
(20, 'goose', 'elephant')
(20, 'goat', 'donkey')
(20, 'goat', 'camel')
(20, 'goat', 'elephant')
(20, 'donkey', 'camel')
(20, 'donkey', 'elephant')
(20, 'camel', 'elephant')
(21, 'butterfly', 'rat')
(21, 'butterfly', 'goose')
(21, 'butterfly', 'goat')
(21, 'butterfly', 'donkey')
(21, 'butterfly', 'camel')
(21, 'butterfly', 'elephant')
(21, 'rat', 'goose')
(21, 'rat', 'goat')
(21, 'rat', 'donkey')
(21, 'rat', 'camel')
(21, 'rat', 'elephant')
(21, 'goose', 'goat')
(21, 'goose', 'donkey')
(21, 'goose', 'camel')
(21, 'goose', 'elephant')
(21, 'goat', 'donkey')
(21, 'goat', 'camel')
(21, 'goat', 'elephant')
(21, 'donkey', 'camel')
(21, 'donkey', 'elephant')
(21, 'camel', 'elephant')
(22, 'butterfly', 'rat')
(22, 'butterfly', 'goose')
(22, 'butterfly', 'goat')
(22, 'butterfly', 'donkey')
(22, 'butterfly', 'camel')
(22, 'butterfly', 'elephant')
(22, 'rat', 'goose')
(22, 'rat', 'goat')
(22, 'rat', 'donkey')
(22, 'rat', 'camel')
(22, 'rat', 'elephant')
(22, 'goose', 'goat')
(22, 'goose', 'donkey')
(22, 'goose', 'camel')
(22, 'goose', 'elephant')
(22, 'goat', 'donkey')
(22, 'goat', 'camel')
(22, 'goat', 'elephant')
(22, 'donkey', 'camel')
(22, 'donkey', 'elephant')
(22, 'camel', 'elephant')
(23, 'butterfly', 'rat')
(23, 'butterfly', 'goose')
(23, 'butterfly', 'goat')
(23, 'butterfly', 'donkey')
(23, 'butterfly', 'camel')
(23, 'butterfly', 'elephant')
(23, 'rat', 'goose')
(23, 'rat', 'goat')
(23, 'rat', 'donkey')
(23, 'rat', 'camel')
(23, 'rat', 'elephant')
(23, 'goose', 'goat')
(23, 'goose', 'donkey')
(23, 'goose', 'camel')
(23, 'goose', 'elephant')
(23, 'goat', 'donkey')
(23, 'goat', 'camel')
(23, 'goat', 'elephant')
(23, 'donkey', 'camel')
(23, 'donkey', 'elephant')
(23, 'camel', 'elephant')
(24, 'butterfly', 'rat')
(24, 'butterfly', 'goose')
(24, 'butterfly', 'goat')
